Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,300.8,0.0,00:01:00.0,00:01:39.8,5.01,00:00:00.0,0.00,38.5,38,7.9,0.0,---,---,---,---,---,---,---,---,---,---,43.6294779,-79.4271242



Per-Stroke Data:

1,107.1,0.0,00:00:23.5,00:01:33.1,5.37,00:00:00.0,0.00,39.0,15,8.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6296646,-79.4284137
1,115.7,0.0,00:00:25.1,00:01:33.1,5.37,00:00:00.0,0.00,37.5,16,8.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6296785,-79.4285181
1,124.2,0.0,00:00:26.7,00:01:33.1,5.37,00:00:00.0,0.00,38.0,17,8.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6296935,-79.4286221
1,131.9,0.0,00:00:28.1,00:01:33.8,5.33,00:00:00.0,0.00,39.5,18,7.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6297061,-79.4287153
1,140.4,0.0,00:00:29.7,00:01:33.8,5.33,00:00:00.0,0.00,37.5,19,8.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6297220,-79.4288190
1,148.9,0.0,00:00:31.3,00:01:33.3,5.36,00:00:00.0,0.00,37.5,20,8.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6297371,-79.4289228
1,157.6,0.0,00:00:32.9,00:01:32.9,5.38,00:00:00.0,0.00,38.0,21,8.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6297527,-79.4290279
1,166.2,0.0,00:00:34.5,00:01:32.9,5.38,00:00:00.0,0.00,38.0,22,8.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6297686,-79.4291323
1,174.8,0.0,00:00:36.1,00:01:33.1,5.37,00:00:00.0,0.00,39.0,23,8.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6297850,-79.4292369
1,182.5,0.0,00:00:37.5,00:01:32.9,5.38,00:00:00.0,0.00,37.5,24,7.8,0.0,---,---,---,---,---,---,---,---,---,---,43.6297996,-79.4293310
1,191.1,0.0,00:00:39.1,00:01:33.3,5.36,00:00:00.0,0.00,38.0,25,8.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6298159,-79.4294351
1,199.8,0.0,00:00:40.7,00:01:33.8,5.33,00:00:00.0,0.00,39.0,26,8.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6298324,-79.4295399
1,208.4,0.0,00:00:42.3,00:01:33.3,5.36,00:00:00.0,0.00,38.0,27,8.7,0.0,---,---,---,---,---,---,---,---,---,---,43.6298494,-79.4296447
1,216.9,0.0,00:00:44.1,00:01:33.3,5.36,00:00:00.0,0.00,39.5,28,8.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6298664,-79.4297472
1,224.5,0.0,00:00:45.3,00:01:34.0,5.32,00:00:00.0,0.00,37.5,29,7.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6298813,-79.4298389
1,232.9,0.0,00:00:47.1,00:01:34.9,5.27,00:00:00.0,0.00,37.5,30,8.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6298960,-79.4299414
1,241.4,0.0,00:00:48.5,00:01:34.2,5.31,00:00:00.0,0.00,39.5,31,8.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6299088,-79.4300453
1,248.9,0.0,00:00:50.1,00:01:34.2,5.31,00:00:00.0,0.00,37.5,32,7.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6299202,-79.4301375
1,258.2,0.0,00:00:51.7,00:01:33.1,5.37,00:00:00.0,0.00,37.5,33,9.3,0.0,---,---,---,---,---,---,---,---,---,---,43.6299355,-79.4302506
1,264.9,0.0,00:00:53.1,00:01:33.1,5.37,00:00:00.0,0.00,39.5,34,6.8,0.0,---,---,---,---,---,---,---,---,---,---,43.6299465,-79.4303331
1,274.2,0.0,00:00:54.7,00:01:32.9,5.38,00:00:00.0,0.00,37.5,35,9.3,0.0,---,---,---,---,---,---,---,---,---,---,43.6299618,-79.4304461
1,281.8,0.0,00:00:56.2,00:01:32.4,5.41,00:00:00.0,0.00,38.0,36,7.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6299736,-79.4305386
1,291.0,0.0,00:00:57.9,00:01:33.3,5.36,00:00:00.0,0.00,39.0,37,9.2,0.0,---,---,---,---,---,---,---,---,---,---,43.6299889,-79.4306513
1,300.8,0.0,00:00:59.9,00:01:36.0,5.21,00:00:00.0,0.00,32.5,38,9.8,0.0,---,---,---,---,---,---,---,---,---,---,43.6300040,-79.4307714
